Name,SMILE,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,DataBase,Senotherapeutic
Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1        ,488.014,488.014,487.15572,3.6259,-4.701,9,3,361.62,0.30261,134.75,8.0376,0.60606,0.48011,0.84401,1,33,11,0,11,0,7,4,17,10,2,4,1,3,1,1,3,0,0,1,1,1,2,1,3,1,2,3,3,0,Senotherapeutic,1
ABT-737,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],813.441,813.441,812.258136,6.6427,-8.674,11,2,602.63,0.20427,164.49,1.5354,0.55357,0.50022,0.90116,1,56,14,0,14,1,15,6,30,16,10,6,5,1,1,1,5,0,0,5,1,1,0,1,4,2,2,0,2,0,Senotherapeutic,1
Navitoclax (ABT-263),CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,974.628,974.628,973.295506,9.0239,-8.804,11,2,689.89,0.19026,170.42,-12.761,0.47692,0.49365,0.93566,1,65,18,0,18,1,16,7,24,26,15,7,5,2,2,3,4,0,1,4,2,2,0,1,4,2,2,0,2,0,Senotherapeutic,1
A-1331852,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,658.825,658.825,658.272609,5.8151,-8.951,9,2,475.94,0.24022,141.48,7.0014,0.47917,0.37683,0.98408,1,48,10,0,10,0,7,9,26,16,6,10,6,4,5,5,5,4,4,2,1,1,3,1,1,0,1,4,1,1,Senotherapeutic,1
A-1155463,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,669.8,669.8,669.187973,5.434,-8.138,9,2,503.94,0.25876,164.37,-1.8356,0.57447,0.39553,0.9393,1,47,12,0,12,0,11,6,26,12,1,6,3,3,1,1,5,0,0,3,1,1,2,1,2,1,1,2,2,1,Senotherapeutic,1
Alvespimycin (17-DMAG),CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,616.753,616.753,616.347216,2.0968,-3.216,12,4,487.26,0.28116,169.52,9.0528,0.43182,0.41777,0.91408,1,44,12,0,12,6,8,2,0,23,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,Senotherapeutic,1
Geldanamycin,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,560.642,560.642,560.273383,2.8712,-3.929,11,3,435.72,0.30292,163.48,7.0343,0.4,0.34884,0.90501,1,40,11,0,11,6,5,2,0,20,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Senotherapeutic,1
Tanespimycin (17-AAG),C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,585.695,585.695,585.305017,3.0722,-4.302,11,4,463.22,0.28809,166.28,4.6788,0.42857,0.38263,0.91241,1,42,11,0,11,6,7,2,0,19,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Senotherapeutic,1
Ganetespib,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,364.404,364.404,364.153541,3.4394,-4.722,7,3,267.78,0.27123,90.09,3.9545,0.48148,0.39103,0.88608,1,27,7,0,7,0,3,4,15,6,1,4,2,2,0,1,3,0,0,2,0,1,1,1,0,0,0,1,0,0,Senotherapeutic,1
RO-5045337 (RG7112),CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,727.795,727.795,726.27733,7.899,-7.483,8,0,533.95,0.13818,90.9,2.1975,0.36735,0.4216,1.0318,1,49,11,0,11,2,10,5,18,21,9,5,3,2,1,2,3,0,0,3,1,2,0,2,1,1,0,0,2,0,Senotherapeutic,1
P22077,CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1,315.32,315.32,314.98354,2.7032,-5.201,4,0,212.83,0.38204,116.43,-5.5751,0.55,0.54299,0.77811,1,20,8,0,8,0,4,2,11,3,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Senotherapeutic,1
Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,286.238,286.238,286.04774,1.8359,-2.787,6,4,195.59,0.3857,107.22,-0.082832,0.52381,0.29798,0.83766,1,21,6,0,6,0,1,3,12,5,0,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
Curcumin,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.384,368.384,368.12599,3.5831,-3.673,6,3,292.05,0.2477,96.22,1.178,0.62963,0.36268,0.71389,1,27,6,0,6,0,7,2,12,7,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
o-Vanillin (curcumin metabolite),COc1cccc(C=O)c1O,152.149,152.149,152.047345,1.1772,-1.662,3,1,121.41,0.29767,46.53,-3.906,0.63636,0.21752,0.72752,1,11,3,0,3,0,2,1,6,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
EF-24 (curcumin analogue),O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,311.33,311.33,311.11217,3.7321,-4.193,2,1,238.37,0.10278,29.1,0.70649,0.56522,0.30971,0.78589,1,23,4,0,4,0,2,3,12,3,10,3,2,1,1,1,2,0,0,2,1,1,0,0,1,1,0,0,1,0,Senotherapeutic,1
Piperlongumine,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,317.34,317.34,317.126324,1.7755,-2.393,6,0,252.86,0.23582,65.07,0.4941,0.56522,0.39076,0.73618,1,23,6,0,6,0,5,2,6,8,4,2,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,Senotherapeutic,1
Proscillaridin A,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,530.655,530.655,530.28797,1.982,-4.705,8,4,372.16,0.25645,125.68,0.14199,0.52632,0.25132,1.015,1,38,8,0,8,12,3,6,0,30,0,6,4,2,4,6,0,3,4,0,1,2,0,0,0,0,0,0,0,0,Senotherapeutic,1
Ouabain,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,584.656,584.656,584.28328,-1.4423,-2.72,12,8,383.26,0.38574,206.6,0.43549,0.46341,0.23067,1.0657,1,41,12,0,12,15,4,6,0,37,0,6,4,2,5,6,0,4,4,0,1,2,0,0,0,0,0,0,0,0,Senotherapeutic,1
Ouabagenin,C[C@]12C[C@@H](O)[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)C[C@@H](O)[C@]34CO)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,438.515,438.515,438.22537,-0.5319,-2.513,8,6,289.3,0.35133,147.68,-0.74453,0.45161,0.21387,1.0419,1,31,8,0,8,10,2,5,0,27,0,5,4,1,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,780.945,780.945,780.42961,1.8954,-5.687,14,6,538.71,0.30005,203.06,3.4159,0.52727,0.26942,1.0497,1,55,14,0,14,21,7,8,0,51,0,8,4,4,7,8,0,4,4,0,3,4,0,0,0,0,0,0,0,0,Senotherapeutic,1
Bufalin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,386.53,386.53,386.24571,2.9969,-4.762,4,2,279.75,0.17601,66.76,-0.99834,0.53571,0.24094,0.96742,1,28,4,0,4,8,1,5,0,22,0,5,4,1,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
Strophanthidin,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,404.501,404.501,404.21989,0.96,-3.526,6,3,278.55,0.27062,104.06,-3.8679,0.48276,0.23442,1.0129,1,29,6,0,6,8,2,5,0,23,0,5,4,1,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
SSK1,CC(=O)OCC1C(C(C(C(O1)OC2=C(C=C(C=C2)COC(=O)NC3=NC(=O)N(C=C3)C4C(C(C(O4)CO)O)(F)F)[N+](=O)[O-])OC(=O)C)OC(=O)C)OC(=O)C,788.617,788.617,788.183622,-1.332,-5.104,22,3,540.29,0.44676,290.17,-21.651,0.45455,0.45838,1.0058,1,55,24,0,24,8,17,4,6,27,1,4,1,3,2,3,1,0,0,1,2,3,0,2,0,0,0,0,1,0,Senotherapeutic,1
ARV825,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(OCCOCCOCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2,923.445,923.445,922.287524,4.4441,-10.206,17,3,679.42,0.29998,232.91,-5.8927,0.56923,0.51441,1.0517,1,65,19,0,19,2,19,8,28,20,4,8,3,5,2,3,5,0,0,3,2,3,2,3,1,0,1,3,0,0,Senotherapeutic,1
Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,360.836,360.836,360.112837,4.389,-5.538,4,0,275.89,0.16702,52.6,-2.3394,0.64,0.61318,0.71389,1,25,5,0,5,0,7,2,12,8,6,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,748.992,748.992,748.508528,1.6569,-3.094,14,5,562.27,0.25902,180.08,13.854,0.28846,0.38279,0.9851,1,52,14,0,14,18,7,3,0,50,1,2,0,2,2,2,0,0,0,0,2,2,0,0,2,2,0,0,2,0,Senotherapeutic,1
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,837.053,837.053,836.524573,2.331,-4.395,17,5,632.46,0.2903,216.89,7.111,0.36207,0.38601,0.999,1,58,17,0,17,18,13,3,0,54,1,2,0,2,2,2,0,0,0,0,2,2,0,0,1,1,0,0,1,0,Senotherapeutic,1
Tamatinib (R406),COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,470.46,470.46,470.171397,2.9558,-5.88,11,3,345.75,0.34803,128.75,-1.1452,0.52941,0.39746,0.87957,1,34,12,0,12,0,7,4,18,10,5,4,1,3,0,1,3,0,0,1,0,1,2,1,2,0,2,3,3,0,Senotherapeutic,1
MitoTam,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,745.02,745.02,744.433426,13.001,-11.288,2,0,618.42,0.021911,12.47,-12.646,0.47273,0.43428,0.79161,1,55,3,0,3,0,21,6,36,17,21,6,6,0,0,0,6,0,0,6,0,0,0,0,1,1,0,0,1,0,Senotherapeutic,1
Panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,349.433,349.433,349.179027,2.6014,-4.478,5,4,284.25,0.22181,77.15,1.0293,0.69231,0.51495,0.75761,1,26,5,0,5,0,7,3,15,6,2,3,2,1,0,0,3,0,0,2,0,0,1,0,1,1,0,1,1,0,Senotherapeutic,1
AT-406,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,561.724,561.724,561.331505,2.3629,-3.81,9,3,438.6,0.2135,110.85,7.2548,0.41463,0.44483,0.87019,1,41,9,0,9,4,9,4,12,17,9,3,2,1,1,1,2,0,0,2,1,1,0,4,1,1,0,0,1,0,Senotherapeutic,1
Rapamycin,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,914.182,914.182,913.555144,6.5106,-6.713,14,3,716.91,0.22046,195.43,2.3788,0.33846,0.39174,0.95654,1,65,14,0,14,15,6,4,0,46,0,3,1,2,3,3,0,1,1,0,2,2,0,1,0,0,0,0,0,0,Senotherapeutic,1
Metformin,CN(C)C(=N)N=C(N)N,129.166,129.166,129.101445,-1.5398,-0.133,5,3,108.64,0.56333,91.49,1.2053,0.66667,0.48059,0.57565,1,9,5,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Senotherapeutic,1
Resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,228.246,228.246,228.078645,2.8295,-2.864,3,3,178.57,0.22008,60.69,-1.6732,0.64706,0.39358,0.60693,1,17,3,0,3,0,2,2,12,3,5,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.159,180.159,180.04226,1.1314,-1.929,4,1,137.37,0.35801,63.6,-1.6343,0.53846,0.22196,0.69052,1,13,4,0,4,0,3,1,6,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Senotherapeutic,1
SR12343,C1=CC(=CC(=C1)Br)CCNC(=O)CNC2=NC=C(C=C2)Cl,368.661,368.661,367.0087,2.9202,-4.178,4,2,247.78,0.1894,54.02,0.10215,0.71429,0.54731,0.63634,1,21,6,0,6,0,6,2,12,3,0,2,1,1,0,0,2,0,0,1,0,0,1,1,1,0,1,1,1,0,Senotherapeutic,1
SB203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,377.442,377.442,377.09981,3.5687,-5.242,4,1,280.96,0.20875,77.85,-0.19517,0.51852,0.37213,0.83016,1,27,6,0,6,1,4,4,23,2,6,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,3,1,0,Senotherapeutic,1
BIRB796,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,527.667,527.667,527.28964,5.0942,-6.546,8,2,414.82,0.18647,80.65,1.6094,0.53846,0.36154,0.86525,1,39,8,0,8,0,8,5,21,14,6,5,3,2,1,1,4,0,0,3,1,1,1,2,1,1,0,2,1,0,Senotherapeutic,1
PF-3644022,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C,374.467,374.467,374.120131,3.2076,-5.611,5,2,273.63,0.28601,95.15,4.9333,0.55556,0.19465,0.93566,1,27,6,0,6,1,1,5,19,5,0,5,1,4,0,1,4,0,0,1,0,1,3,1,1,0,1,2,0,0,Senotherapeutic,1
Ruxolitinib,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,306.372,306.372,306.159294,1.6767,-3.921,6,1,244.68,0.27518,83.18,-5.579,0.47826,0.39191,0.85592,1,23,6,0,6,1,4,4,14,7,2,4,1,3,1,1,3,1,1,0,0,0,3,0,0,0,0,5,0,0,Senotherapeutic,1
KU-55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,395.502,395.502,395.064984,4.8128,-5.621,4,0,280.01,0.2556,89.37,3.0835,0.51852,0.30113,0.87401,1,27,6,0,6,0,2,5,12,8,2,5,2,3,1,3,2,0,0,2,1,3,0,0,0,0,0,0,0,0,Senotherapeutic,1
