Name,SMILE,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,DataBase,Senotherapeutic
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.239,270.052825,1.6272,-2.727,5,3,191.03,0.32634,86.99,-0.093853,0.6,0.29499,0.80083,1,20,5,0,5,0,1,3,12,4,2,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
"Tetrabenzo[5,7]fulvalene",C1=CC=C2C(=C1)C=CC3=CC=CC=C3C2=C4C5=CC=CC=C5C6=CC=CC=C64,354.451,354.14085,7.1562,-8.212,0,0,274.96,0,0,-1.0458,0.35714,0.092292,0.88752,1,28,0,0,0,0,0,6,24,0,13,6,6,0,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Pitavastatin,C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,421.467,421.168937,4.4887,-6.368,5,3,315.07,0.20094,90.65,0.38378,0.48387,0.46762,0.90168,1,31,6,0,6,2,8,4,16,10,3,4,3,1,1,1,3,1,1,2,0,0,1,0,0,0,0,1,0,1,Senotherapeutic,1
Ruxolitinib,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,306.372,306.159294,1.6767,-3.921,6,1,244.68,0.27518,83.18,-5.579,0.47826,0.39191,0.85592,1,23,6,0,6,1,4,4,14,7,2,4,1,3,1,1,3,1,1,0,0,0,3,0,0,0,0,5,0,0,Senotherapeutic,1
KU-55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,395.502,395.064984,4.8128,-5.621,4,0,280.01,0.2556,89.37,3.0835,0.51852,0.30113,0.87401,1,27,6,0,6,0,2,5,12,8,2,5,2,3,1,3,2,0,0,2,1,3,0,0,0,0,0,0,0,0,Senotherapeutic,1
P22077,CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1,315.32,314.98354,2.7032,-5.201,4,0,212.83,0.38204,116.43,-5.5751,0.55,0.54299,0.77811,1,20,8,0,8,0,4,2,11,3,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Senotherapeutic,1
KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,531.438,530.14876,3.3639,-2.995,8,0,384.42,0.17684,69.06,8.14,0.55556,0.45571,0.86492,1,36,10,0,10,2,7,5,17,13,4,5,2,3,2,2,3,0,0,2,2,2,1,1,1,0,1,2,1,0,NoSenotherapeutic,0
MEPAZINE ACETATE,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,370.515,310.150368,4.5425,-4.611,2,0,237.67,0.10346,31.78,5.2505,0.45455,0.33985,0.82582,2,22,3,0,3,1,2,4,12,10,6,4,2,2,1,2,2,0,0,2,1,2,0,0,2,1,1,0,1,0,NoSenotherapeutic,0
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.159,180.04226,1.1314,-1.929,4,1,137.37,0.35801,63.6,-1.6343,0.53846,0.22196,0.69052,1,13,4,0,4,0,3,1,6,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Senotherapeutic,1
CYCLOFENIL,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,364.44,364.16746,4.3213,-5.349,4,0,291.26,0.15821,52.6,-6.1848,0.55556,0.44165,0.79924,1,27,4,0,4,0,6,3,12,9,14,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
SSK1,CC(=O)OCC1C(C(C(C(O1)OC2=C(C=C(C=C2)COC(=O)NC3=NC(=O)N(C=C3)C4C(C(C(O4)CO)O)(F)F)[N+](=O)[O-])OC(=O)C)OC(=O)C)OC(=O)C,788.617,788.183622,-1.332,-5.104,22,3,540.29,0.44676,290.17,-21.651,0.45455,0.45838,1.0058,1,55,24,0,24,8,17,4,6,27,1,4,1,3,2,3,1,0,0,1,2,3,0,2,0,0,0,0,1,0,Senotherapeutic,1
INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,281.31,281.105194,2.2291,-3.687,4,1,210.19,0.20329,57.61,3.7067,0.57143,0.44387,0.77499,1,21,4,0,4,1,3,3,12,4,2,3,2,1,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0,1,NoSenotherapeutic,0
PHENOTHRIN,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,350.456,350.188195,5.3937,-5.656,3,0,280.19,0.11792,35.53,-0.023795,0.61538,0.55486,0.73864,1,26,3,0,3,2,7,3,12,10,4,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Atorvastatin,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.648,558.253001,5.6217,-6.92,7,4,431.16,0.19415,111.79,4.4511,0.41463,0.46678,0.95969,1,41,8,0,8,2,12,4,23,12,7,4,3,1,0,0,4,0,0,3,0,0,1,1,0,0,0,1,0,1,Senotherapeutic,1
Ganetespib,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,364.404,364.153541,3.4394,-4.722,7,3,267.78,0.27123,90.09,3.9545,0.48148,0.39103,0.88608,1,27,7,0,7,0,3,4,15,6,1,4,2,2,0,1,3,0,0,2,0,1,1,1,0,0,0,1,0,0,Senotherapeutic,1
SIBUTRAMINE,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,279.853,279.175376,4.2703,-4.069,1,0,224.97,0.01578,3.24,1.4302,0.52632,0.55795,0.73369,1,19,2,0,2,1,5,2,6,12,5,2,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,NoSenotherapeutic,0
IBUFENAC,CC(C)Cc1ccc(CC(=O)O)cc1,192.257,192.11503,2.575,-2.527,2,1,161.9,0.16146,37.3,-1.5706,0.71429,0.66584,0.51193,1,14,2,0,2,0,4,1,6,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NoSenotherapeutic,0
ISAXONINE PHOSPHATE,CC(C)Nc1ncccn1.O=P(O)(O)O,235.179,137.095297,0.8785,-1.621,3,1,119.26,0.28006,37.81,0.80345,0.7,0.40509,0.55452,2,10,3,0,3,0,2,1,6,3,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,NoSenotherapeutic,0
Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,360.836,360.112837,4.389,-5.538,4,0,275.89,0.16702,52.6,-2.3394,0.64,0.61318,0.71389,1,25,5,0,5,0,7,2,12,8,6,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Senotherapeutic,1
PHENOXYPROPAZINE,CC(COc1ccccc1)NN,166.223,166.110613,0.2666,-2.158,3,2,141.76,0.2591,47.28,-2.9037,0.75,0.591,0.4621,1,12,3,0,3,1,4,1,6,6,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
MEBANAZINE,CC(NN)c1ccccc1,136.197,136.100048,0.1871,-1.924,2,2,118,0.22653,38.05,-2.8942,0.7,0.55732,0.55452,1,10,2,0,2,1,2,1,6,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,424.532,424.246105,2.4541,-3.533,7,4,327.95,0.2698,124.29,3.1264,0.53333,0.55078,0.85376,1,30,7,0,7,8,11,2,0,22,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,Senotherapeutic,1
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,837.053,836.524573,2.331,-4.395,17,5,632.46,0.2903,216.89,7.111,0.36207,0.38601,0.999,1,58,17,0,17,18,13,3,0,54,1,2,0,2,2,2,0,0,0,0,2,2,0,0,1,1,0,0,1,0,Senotherapeutic,1
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,748.992,748.508528,1.6569,-3.094,14,5,562.27,0.25902,180.08,13.854,0.28846,0.38279,0.9851,1,52,14,0,14,18,7,3,0,50,1,2,0,2,2,2,0,0,0,0,2,2,0,0,2,2,0,0,2,0,Senotherapeutic,1
PERMETHRIN,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,391.293,390.078949,5.8089,-6.469,3,0,286.51,0.11532,35.53,0.92471,0.61538,0.55486,0.75032,1,26,5,0,5,2,7,3,12,8,4,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Navitoclax (ABT-263),CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,974.628,973.295506,9.0239,-8.804,11,2,689.89,0.19026,170.42,-12.761,0.47692,0.49365,0.93566,1,65,18,0,18,1,16,7,24,26,15,7,5,2,2,3,4,0,1,4,2,2,0,1,4,2,2,0,2,0,Senotherapeutic,1
Guayulin C,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2OC(=O)C=CC4=CC=CC=C4)C,366.499,366.219495,4.5801,-4.893,3,1,277.49,0.13024,46.53,-6.0127,0.51852,0.30027,0.87927,1,27,3,0,3,6,4,4,6,15,3,4,4,0,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Taraxerone,CC1(CCC2(CC=C3C4(CCC5C(C(=O)CCC5(C4CCC3(C2C1)C)C)(C)C)C)C)C,424.71,424.370515,7.4843,-6.704,1,0,324.1,0.040234,17.07,-4.4575,0.41935,0.3037,0.96627,1,31,1,0,1,7,0,5,0,27,2,5,5,0,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,349.433,349.179027,2.6014,-4.478,5,4,284.25,0.22181,77.15,1.0293,0.69231,0.51495,0.75761,1,26,5,0,5,0,7,3,15,6,2,3,2,1,0,0,3,0,0,2,0,0,1,0,1,1,0,1,1,0,Senotherapeutic,1
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,853.915,853.330959,3.188,-6.289,15,4,605.19,0.29577,221.29,0.82049,0.32258,0.38593,1.0822,1,62,15,0,15,11,14,7,18,29,7,6,5,1,2,3,3,1,2,3,1,1,0,1,0,0,0,0,0,0,NoSenotherapeutic,0
Benzedrone,CC1=CC=C(C=C1)C(=O)C(C)NCC2=CC=CC=C2,253.344,253.146664,2.6791,-3.83,2,1,213.01,0.11502,29.1,3.5826,0.68421,0.5359,0.60279,1,19,2,0,2,1,5,2,12,5,4,2,2,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,NoSenotherapeutic,0
BIRB796,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,527.667,527.28964,5.0942,-6.546,8,2,414.82,0.18647,80.65,1.6094,0.53846,0.36154,0.86525,1,39,8,0,8,0,8,5,21,14,6,5,3,2,1,1,4,0,0,3,1,1,1,2,1,1,0,2,1,0,Senotherapeutic,1
Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.773,325.078202,3.2751,-6.815,3,0,238,0.12332,30.18,2.7386,0.43478,0.18345,0.90475,1,23,5,0,5,0,1,4,17,2,0,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,2,0,0,NoSenotherapeutic,0
A-1331852,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,658.825,658.272609,5.8151,-8.951,9,2,475.94,0.24022,141.48,7.0014,0.47917,0.37683,0.98408,1,48,10,0,10,0,7,9,26,16,6,10,6,4,5,5,5,4,4,2,1,1,3,1,1,0,1,4,1,1,Senotherapeutic,1
MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,298.389,298.179361,1.5911,-2.567,5,1,243.62,0.19272,50.28,2.4865,0.68182,0.44668,0.70898,1,22,5,0,5,0,5,3,12,9,4,3,1,2,1,1,2,0,0,1,1,1,1,0,2,1,1,2,1,0,NoSenotherapeutic,0
LUMIRACOXIB,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,293.724,293.061884,3.7239,-4.566,3,2,216.37,0.17378,49.33,-2.0597,0.5,0.52068,0.75973,1,20,5,0,5,0,4,2,12,3,0,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,1,NoSenotherapeutic,0
Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1        ,488.014,487.15572,3.6259,-4.701,9,3,361.62,0.30261,134.75,8.0376,0.60606,0.48011,0.84401,1,33,11,0,11,0,7,4,17,10,2,4,1,3,1,1,3,0,0,1,1,1,2,1,3,1,2,3,3,0,Senotherapeutic,1
ARV825,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(OCCOCCOCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2,923.445,922.287524,4.4441,-10.206,17,3,679.42,0.29998,232.91,-5.8927,0.56923,0.51441,1.0517,1,65,19,0,19,2,19,8,28,20,4,8,3,5,2,3,5,0,0,3,2,3,2,3,1,0,1,3,0,0,Senotherapeutic,1
Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,418.572,418.271925,4.4608,-4.75,5,1,327.83,0.18052,72.83,0.66833,0.46667,0.42856,0.87651,1,30,5,0,5,7,7,3,0,22,1,3,2,1,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
BENZIODARONE,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,518.079,517.887591,4.5832,-7.138,3,1,259.99,0.15481,50.44,1.227,0.5,0.48468,0.86954,1,22,5,0,5,0,3,3,15,3,3,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
BENZARONE,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,266.295,266.094295,3.709,-5.106,3,1,207.43,0.19404,50.44,0.62751,0.55,0.46373,0.81096,1,20,3,0,3,0,3,3,15,3,2,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
Dronabinol,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,314.467,314.22458,6.131,-4.807,2,1,254.33,0.090827,29.46,-11.786,0.56522,0.37623,0.90011,1,23,2,0,2,2,4,3,6,15,1,3,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Quercetin caprylate,CCCCCCCC(=O)OC1=C(C2=C(C=C1O)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O,444.435,444.142035,4.2033,-4.411,9,5,324.51,0.34384,153.75,-25.245,0.625,0.40383,0.91193,1,32,9,0,9,0,9,3,12,14,0,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
TEGASEROD MALEATE,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12.O=C(O)/C=C\C(=O)O,417.464,301.19026,2.8267,-3.563,6,4,254.98,0.2903,85.29,-0.46519,0.72727,0.42069,0.75761,2,22,6,0,6,0,7,2,9,7,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,NoSenotherapeutic,0
BUTAMBEN PICRATE,CCCCOC(=O)c1ccc(N)cc1.CCCCOC(=O)c1ccc(N)cc1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,615.594,228.997102,-1.4509,-2.7,10,1,150.62,0.69287,157.69,-7.5665,0.4375,0.52477,0.74499,3,16,10,0,10,0,3,1,6,4,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
ALPIDEM,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,404.34,403.121816,5.0431,-6.919,4,0,309.24,0.11483,37.61,4.4691,0.48148,0.53987,0.86725,1,27,6,0,6,0,7,3,15,7,5,3,1,2,0,0,3,0,0,1,0,0,2,1,0,0,0,2,1,0,NoSenotherapeutic,0
XIMELAGATRAN,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,473.572,473.26382,1.1936,-3.529,10,4,367.93,0.31384,146.35,-3.3946,0.58824,0.58059,0.81719,1,34,10,0,10,2,11,3,6,17,4,3,2,1,2,2,1,1,1,1,1,1,0,2,1,1,0,0,1,0,NoSenotherapeutic,0
RO-5045337 (RG7112),CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,727.795,726.27733,7.899,-7.483,8,0,533.95,0.13818,90.9,2.1975,0.36735,0.4216,1.0318,1,49,11,0,11,2,10,5,18,21,9,5,3,2,1,2,3,0,0,3,1,2,0,2,1,1,0,0,2,0,Senotherapeutic,1
PHENACETIN,CCOc1ccc(NC(C)=O)cc1,179.218,179.094629,1.6996,-2.276,3,1,150.75,0.22886,38.33,-1.0225,0.76923,0.46547,0.56122,1,13,3,0,3,0,3,1,6,4,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,NoSenotherapeutic,0
Metformin,CN(C)C(=N)N=C(N)N,129.166,129.101445,-1.5398,-0.133,5,3,108.64,0.56333,91.49,1.2053,0.66667,0.48059,0.57565,1,9,5,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Senotherapeutic,1
GENTIAN VIOLET,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],407.987,372.243972,0.6992,-3.473,3,0,302.61,0.0062787,9.49,-10.07,0.46429,0.44797,0.75973,2,28,3,0,3,0,4,3,12,6,15,3,3,0,0,1,2,0,1,2,0,0,0,0,2,0,2,0,0,0,NoSenotherapeutic,0
